DIST_CODE,DIST_NAME,MEDIAN_CLASS_SIZE,STU:TCHR_RATIO,WEIGHTED_AVG_STU:TCHR+AIDE_RATIO,PREK_CURRICULA_MostSchool,PREK_Curricula_MostSchools_Count,PREK_CURRICULA_Available,Cnt_PreK_FullANDHalfDay,Cnt_PreK_FullDay_Only,Cnt_PreK_HalfDay_Only,Cnt_PreK_FullDayAvailable,Cnt_PreK_HalfDayAvailable,ADA_Eligible,ADA_Ineligible,PK_Total_Enrollment_21_22
062903,YOAKUM ISD,17,16:1,17:1,Other,1,Other,1,0,0,1,1,53,17,70
062904,YORKTOWN ISD,16,16:1,16:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,13,18,31
062905,WESTHOFF ISD,10,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,10
062906,MEYERSVILLE ISD,10,10:1,10:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,*,*,9
063903,SPUR ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,8,5,13
063906,PATTON SPRINGS ISD,14,7:1,7:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,13,"",13
064903,CARRIZO SPRINGS CISD,15,14:1,9:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,45,10,55
065901,CLARENDON ISD,19,13:1,13:1,CIRCLE-E,1,"CIRCLE-E,Other",0,1,0,1,0,26,6,32
065902,HEDLEY ISD,3,3:1,3:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,*
066005,RAMIREZ CSD,2,2:1,1:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,"",*
066901,BENAVIDES ISD,9,9:1,9:1,Other,1,Other,0,1,0,1,0,*,*,9
066902,SAN DIEGO ISD,22,24:1,24:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,76,5,81
066903,FREER ISD,32,32:1,32:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,45,14,59
067902,CISCO ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,34,"",34
067903,EASTLAND ISD,23,23:1,23:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,62
067904,GORMAN ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,11
067907,RANGER ISD,22,22:1,22:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,17
067908,RISING STAR ISD,11,11:1,11:1,Other,1,Other,0,1,0,1,0,5,5,10
068901,ECTOR COUNTY ISD,22,22:1,22:1,Frog Street-E,19,Frog Street-E,5,14,0,19,5,1439,235,1674
069901,ROCKSPRINGS ISD,16,16:1,16:1,Other,1,Other,0,1,0,1,0,11,5,16
069902,NUECES CANYON CISD,7,7:1,7:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,8
070801,WAXAHACHIE FAITH FAMILY ACADEMY,27,20:1,20:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,2,0,2,0,*,*,139
070901,AVALON ISD,17,33:1,33:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,23,9,32
070903,ENNIS ISD,19,17:1,17:1,Frog Street-E,2,"Frog Street-E,Frog Street-S",0,2,0,2,0,365,43,408
070905,FERRIS ISD,20,19:1,12:1,PreK On My Way-E,1,"PreK On My Way-E,PreK On My Way-S",1,0,0,1,1,115,8,123
070907,ITALY ISD,19,19:1,19:1,PreK On My Way-E,1,PreK On My Way-E,1,0,0,1,1,*,*,31
070908,MIDLOTHIAN ISD,19,15:1,14:1,PreK On My Way-E,5,"PreK On My Way-E,PreK On My Way-S",1,4,0,5,1,121,14,135
070909,MILFORD ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,0,1,0,1,*,*,11
070910,PALMER ISD,23,18:1,18:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,39,6,45
070911,RED OAK ISD,21,21:1,14:1,Ready to Advance-E,5,"Ready to Advance-E,Ready to Advance-S,Other",2,3,0,5,2,166,"",166
070912,WAXAHACHIE ISD,14,13:1,9:1,CIRCLE-E,3,CIRCLE-E,0,3,0,3,0,240,7,247
070915,MAYPEARL ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,29
071801,BURNHAM WOOD CHARTER SCHOOL DISTRIC,19,18:1,16:1,Other,2,"Other,Frog Street-E",2,0,0,2,2,94,19,113
071806,HARMONY PUBLIC SCHOOLS - WEST TEXAS,25,22:1,19:1,Savvas-E,2,Savvas-E,0,2,0,2,0,125,"",125
071807,LA FE PREPARATORY SCHOOL,13,13:1,13:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,25,"",25
071809,VISTA DEL FUTURO CHARTER SCHOOL,21,20:1,20:1,Frog Street-E,1,"Frog Street-E,Other",1,0,0,1,1,51,7,58
071901,CLINT ISD,21,17:1,12:1,Frog Street-E,6,"Frog Street-E,Frog Street-S",1,5,0,6,1,361,28,389
071902,EL PASO ISD,19,15:1,15:1,Frog Street-E,48,Frog Street-E,34,0,14,34,48,1994,185,2179
071903,FABENS ISD,18,14:1,14:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,*,*,67
071904,SAN ELIZARIO ISD,16,19:1,19:1,Frog Street-E,1,"Frog Street-E,Frog Street-S,PreK On My Way-E,PreK On My Way-S",0,1,0,1,0,220,13,233
071905,YSLETA ISD,20,15:1,12:1,Savvas-E,19,Savvas-E,0,18,0,18,0,978,80,1058
071906,ANTHONY ISD,18,16:1,16:1,Savvas-E,1,Savvas-E,0,1,0,1,0,32,11,43
071907,CANUTILLO ISD,20,16:1,16:1,PreK On My Way-S,6,"PreK On My Way-S,PreK On My Way-E",0,0,6,0,6,171,19,190
071908,TORNILLO ISD,5,8:1,8:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,26
071909,SOCORRO ISD,23,19:1,14:1,Frog Street-E,26,"Frog Street-E,Frog Street-S",17,11,0,28,17,2181,347,2528
072901,THREE WAY ISD,11,21:1,21:1,Other,1,Other,0,1,0,1,0,*,*,20
072902,DUBLIN ISD,14,12:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,46,14,60
072903,STEPHENVILLE ISD,24,18:1,18:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",0,1,0,1,0,128,20,148
072904,BLUFF DALE ISD,18,18:1,18:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,6,10,16
072908,HUCKABAY ISD,19,19:1,19:1,Other,1,Other,0,1,0,1,0,"",12,12
072909,LINGLEVILLE ISD,8,15:1,10:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,10,7,17
072910,MORGAN MILL ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,11
073901,CHILTON ISD,18,17:1,17:1,Other,1,Other,1,0,0,1,1,52,"",52
073903,MARLIN ISD,20,20:1,20:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,62,"",62
